Buchungstag,Valuta,Belegnummer,Buchungstext,Gegenkonto,Betrag (EUR),Währung,Kunde/Lieferant,IBAN,Verwendungszweck
2025-04-29,2025-04-29,BNR-100000,Finanzamt Zahlung,17000,-500.69,EUR,Finanzamt München,DE75512108001245126199,Finanzamt Zahlung Finanzamt München 2025-04
2024-10-24,2024-10-24,BNR-100001,Softwarelizenz,48000,-973.99,EUR,AWS,DE62500105170648482300,Softwarelizenz AWS 2024-10
2024-11-03,2024-11-03,BNR-100002,Softwarelizenz,48000,-384.48,EUR,SAP,DE16530601800000001900,Softwarelizenz SAP 2024-11
2025-01-28,2025-01-28,BNR-100003,Gehalt,60000,-2444.42,EUR,Lisa Schmidt,DE44500105175407324931,Gehalt Lisa Schmidt 2025-01
2024-02-13,2024-02-13,BNR-100004,Strom,16000,-800.66,EUR,SAP,DE44500105175407324931,Strom SAP 2024-02
2024-04-15,2024-04-15,BNR-100005,Strom,16000,-266.36,EUR,SAP,DE12500105170648489890,Strom SAP 2024-04
2024-11-19,2024-11-19,BNR-100006,Strom,16000,-330.92,EUR,AWS,DE62500105170648482300,Strom AWS 2024-11
2024-11-28,2024-11-28,BNR-100007,Softwarelizenz,48000,-858.42,EUR,SAP,DE44500105175407324931,Softwarelizenz SAP 2024-11
2024-01-20,2024-01-20,BNR-100008,Miete,69000,-872.85,EUR,Cowork Space Berlin,DE62500105170648482300,Miete Cowork Space Berlin 2024-01
2024-08-12,2024-08-12,BNR-100009,Strom,16000,-904.07,EUR,Adobe,DE89370400440532013000,Strom Adobe 2024-08
2024-10-19,2024-10-19,BNR-100010,Gehalt,60000,-804.61,EUR,Tom Berger,DE62500105170648482300,Gehalt Tom Berger 2024-10
2024-08-20,2024-08-20,BNR-100011,Finanzamt Erstattung,17000,1162.45,EUR,Finanzamt München,DE16530601800000001900,Finanzamt Erstattung Finanzamt München 2024-08
2024-11-29,2024-11-29,BNR-100012,Reisekosten,67600,-2267.38,EUR,Lisa Schmidt,DE12345678901234567890,Reisekosten Lisa Schmidt 2024-11
2024-04-14,2024-04-14,BNR-100013,Softwarelizenz,48000,-416.01,EUR,AWS,DE12345678901234567890,Softwarelizenz AWS 2024-04
2024-10-18,2024-10-18,BNR-100014,Miete,69000,-1541.92,EUR,Büropark Mitte GmbH,DE44500105175407324931,Miete Büropark Mitte GmbH 2024-10
2024-03-19,2024-03-19,BNR-100015,Finanzamt Erstattung,17000,1939.57,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Erstattung Finanzamt München 2024-03
2024-08-08,2024-08-08,BNR-100016,Softwarelizenz,48000,-110.3,EUR,Adobe,DE16530601800000001900,Softwarelizenz Adobe 2024-08
2024-12-29,2024-12-29,BNR-100017,Strom,16000,-313.29,EUR,AWS,DE44500105175407324931,Strom AWS 2024-12
2024-02-05,2024-02-05,BNR-100018,Miete,69000,-1390.27,EUR,Cowork Space Berlin,DE89370400440532013000,Miete Cowork Space Berlin 2024-02
2024-09-12,2024-09-12,BNR-100019,Finanzamt Erstattung,17000,1917.11,EUR,Finanzamt München,DE76543210987654321000,Finanzamt Erstattung Finanzamt München 2024-09
2024-06-09,2024-06-09,BNR-100020,Gehalt,60000,-2775.92,EUR,Lisa Schmidt,DE44500105175407324931,Gehalt Lisa Schmidt 2024-06
2025-02-17,2025-02-17,BNR-100021,Reisekosten,67600,-2033.2,EUR,Anna Weber,DE89370400440532013000,Reisekosten Anna Weber 2025-02
2025-04-18,2025-04-18,BNR-100022,Gehalt,60000,-3600.39,EUR,Anna Weber,DE12345678901234567890,Gehalt Anna Weber 2025-04
2024-10-25,2024-10-25,BNR-100023,Zahlungseingang,10000,1940.97,EUR,ACME GmbH,DE12345678901234567890,Zahlungseingang ACME GmbH 2024-10
2024-02-16,2024-02-16,BNR-100024,Strom,16000,-784.18,EUR,SAP,DE75512108001245126199,Strom SAP 2024-02
2025-03-16,2025-03-16,BNR-100025,Zahlungseingang,10000,7905.31,EUR,Meyer & Co KG,DE16530601800000001900,Zahlungseingang Meyer & Co KG 2025-03
