Buchungstag,Valuta,Belegnummer,Buchungstext,Gegenkonto,Betrag (EUR),Währung,Kunde/Lieferant,IBAN,Verwendungszweck
2024-08-22,2024-08-22,BNR-100000,Softwarelizenz,48000,-107.43,EUR,Adobe,DE75512108001245126199,Softwarelizenz Adobe 2024-08
2024-12-25,2024-12-25,BNR-100001,Finanzamt Erstattung,17000,661.67,EUR,Finanzamt Berlin,DE76543210987654321000,Finanzamt Erstattung Finanzamt Berlin 2024-12
2024-01-20,2024-01-20,BNR-100002,Finanzamt Zahlung,17000,-2125.79,EUR,Finanzamt Köln,DE44500105175407324931,Finanzamt Zahlung Finanzamt Köln 2024-01
2025-01-08,2025-01-08,BNR-100003,Zahlungseingang,10000,5328.47,EUR,Meyer & Co KG,DE12345678901234567890,Zahlungseingang Meyer & Co KG 2025-01
2024-04-05,2024-04-05,BNR-100004,Miete,69000,-1917.24,EUR,Büropark Mitte GmbH,DE62500105170648482300,Miete Büropark Mitte GmbH 2024-04
2024-08-02,2024-08-02,BNR-100005,Zahlungseingang,10000,4110.53,EUR,Meyer & Co KG,DE76543210987654321000,Zahlungseingang Meyer & Co KG 2024-08
2025-03-10,2025-03-10,BNR-100006,Reisekosten,67600,-2001.2,EUR,Lisa Schmidt,DE76543210987654321000,Reisekosten Lisa Schmidt 2025-03
2025-04-01,2025-04-01,BNR-100007,Strom,16000,-773.02,EUR,Microsoft,DE76543210987654321000,Strom Microsoft 2025-04
2025-04-04,2025-04-04,BNR-100008,Strom,16000,-713.29,EUR,AWS,DE76543210987654321000,Strom AWS 2025-04
2024-06-22,2024-06-22,BNR-100009,Zahlungseingang,10000,2097.32,EUR,ACME GmbH,DE62500105170648482300,Zahlungseingang ACME GmbH 2024-06
2024-12-30,2024-12-30,BNR-100010,Finanzamt Zahlung,17000,-1688.01,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Zahlung Finanzamt München 2024-12
2024-01-04,2024-01-04,BNR-100011,Strom,16000,-514.14,EUR,Adobe,DE12500105170648489890,Strom Adobe 2024-01
2024-08-01,2024-08-01,BNR-100012,Gehalt,60000,-2625.53,EUR,Lisa Schmidt,DE76543210987654321000,Gehalt Lisa Schmidt 2024-08
2024-03-26,2024-03-26,BNR-100013,Finanzamt Erstattung,17000,517.16,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Erstattung Finanzamt Köln 2024-03
2024-09-12,2024-09-12,BNR-100014,Miete,69000,-893.91,EUR,Büropark Mitte GmbH,DE89370400440532013000,Miete Büropark Mitte GmbH 2024-09
2024-09-20,2024-09-20,BNR-100015,Strom,16000,-402.43,EUR,Microsoft,DE62500105170648482300,Strom Microsoft 2024-09
2024-03-13,2024-03-13,BNR-100016,Strom,16000,-617.01,EUR,Microsoft,DE62500105170648482300,Strom Microsoft 2024-03
2025-03-14,2025-03-14,BNR-100017,Gehalt,60000,-2964.85,EUR,Lisa Schmidt,DE89370400440532013000,Gehalt Lisa Schmidt 2025-03
2025-05-05,2025-05-05,BNR-100018,Reisekosten,67600,-1101.46,EUR,Anna Weber,DE12345678901234567890,Reisekosten Anna Weber 2025-05
2024-05-31,2024-05-31,BNR-100019,Finanzamt Zahlung,17000,-1228.3,EUR,Finanzamt Köln,DE62500105170648482300,Finanzamt Zahlung Finanzamt Köln 2024-05
2024-12-20,2024-12-20,BNR-100020,Gehalt,60000,-2065.46,EUR,Anna Weber,DE76543210987654321000,Gehalt Anna Weber 2024-12
2024-11-06,2024-11-06,BNR-100021,Strom,16000,-191.88,EUR,Stromio Business,DE62500105170648482300,Strom Stromio Business 2024-11
2024-10-06,2024-10-06,BNR-100022,Softwarelizenz,48000,-203.48,EUR,Microsoft,DE76543210987654321000,Softwarelizenz Microsoft 2024-10
2024-01-25,2024-01-25,BNR-100023,Miete,69000,-1758.69,EUR,Büropark Mitte GmbH,DE76543210987654321000,Miete Büropark Mitte GmbH 2024-01
2024-01-09,2024-01-09,BNR-100024,Zahlungseingang,10000,2299.46,EUR,ACME GmbH,DE12500105170648489890,Zahlungseingang ACME GmbH 2024-01
2025-04-10,2025-04-10,BNR-100025,Zahlungseingang,10000,6277.1,EUR,Industriepartner AG,DE44500105175407324931,Zahlungseingang Industriepartner AG 2025-04
2025-02-12,2025-02-12,BNR-100026,Gehalt,60000,-3747.33,EUR,Tom Berger,DE44500105175407324931,Gehalt Tom Berger 2025-02
2025-04-15,2025-04-15,BNR-100027,Miete,69000,-991.97,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2025-04
2024-03-29,2024-03-29,BNR-100028,Softwarelizenz,48000,-539.31,EUR,Microsoft,DE12500105170648489890,Softwarelizenz Microsoft 2024-03
2024-04-23,2024-04-23,BNR-100029,Reisekosten,67600,-1102.55,EUR,Anna Weber,DE12345678901234567890,Reisekosten Anna Weber 2024-04
2024-03-11,2024-03-11,BNR-100030,Finanzamt Zahlung,17000,-1901.68,EUR,Finanzamt Köln,DE89370400440532013000,Finanzamt Zahlung Finanzamt Köln 2024-03
2024-10-08,2024-10-08,BNR-100031,Finanzamt Zahlung,17000,-1787.73,EUR,Finanzamt Berlin,DE75512108001245126199,Finanzamt Zahlung Finanzamt Berlin 2024-10
2024-02-12,2024-02-12,BNR-100032,Gehalt,60000,-1676.02,EUR,Tom Berger,DE62500105170648482300,Gehalt Tom Berger 2024-02
2025-01-28,2025-01-28,BNR-100033,Softwarelizenz,48000,-106.16,EUR,Adobe,DE12500105170648489890,Softwarelizenz Adobe 2025-01
2024-09-30,2024-09-30,BNR-100034,Reisekosten,67600,-3500.64,EUR,Tom Berger,DE12500105170648489890,Reisekosten Tom Berger 2024-09
2024-07-13,2024-07-13,BNR-100035,Softwarelizenz,48000,-559.88,EUR,Adobe,DE12500105170648489890,Softwarelizenz Adobe 2024-07
2024-08-24,2024-08-24,BNR-100036,Gehalt,60000,-3834.56,EUR,Tom Berger,DE62500105170648482300,Gehalt Tom Berger 2024-08
2025-04-01,2025-04-01,BNR-100037,Miete,69000,-1791.36,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2025-04
2025-01-30,2025-01-30,BNR-100038,Gehalt,60000,-713.12,EUR,Lisa Schmidt,DE12345678901234567890,Gehalt Lisa Schmidt 2025-01
2025-03-25,2025-03-25,BNR-100039,Zahlungseingang,10000,3296.01,EUR,ACME GmbH,DE16530601800000001900,Zahlungseingang ACME GmbH 2025-03
2025-05-06,2025-05-06,BNR-100040,Zahlungseingang,10000,5998.34,EUR,Industriepartner AG,DE12345678901234567890,Zahlungseingang Industriepartner AG 2025-05
2024-06-20,2024-06-20,BNR-100041,Strom,16000,-582.17,EUR,Microsoft,DE89370400440532013000,Strom Microsoft 2024-06
2024-03-23,2024-03-23,BNR-100042,Gehalt,60000,-2658.99,EUR,Anna Weber,DE16530601800000001900,Gehalt Anna Weber 2024-03
2025-01-29,2025-01-29,BNR-100043,Finanzamt Zahlung,17000,-1912.99,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Zahlung Finanzamt München 2025-01
2024-06-28,2024-06-28,BNR-100044,Softwarelizenz,48000,-776.77,EUR,Adobe,DE44500105175407324931,Softwarelizenz Adobe 2024-06
2025-04-25,2025-04-25,BNR-100045,Softwarelizenz,48000,-263.65,EUR,Microsoft,DE89370400440532013000,Softwarelizenz Microsoft 2025-04
2024-09-11,2024-09-11,BNR-100046,Miete,69000,-1838.87,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2024-09
2024-10-07,2024-10-07,BNR-100047,Miete,69000,-803.0,EUR,Büropark Mitte GmbH,DE16530601800000001900,Miete Büropark Mitte GmbH 2024-10
2024-07-21,2024-07-21,BNR-100048,Reisekosten,67600,-2433.72,EUR,Lisa Schmidt,DE12500105170648489890,Reisekosten Lisa Schmidt 2024-07
2024-11-16,2024-11-16,BNR-100049,Reisekosten,67600,-777.54,EUR,Anna Weber,DE12500105170648489890,Reisekosten Anna Weber 2024-11
2025-04-08,2025-04-08,BNR-100050,Zahlungseingang,10000,5405.18,EUR,Meyer & Co KG,DE75512108001245126199,Zahlungseingang Meyer & Co KG 2025-04
2024-06-27,2024-06-27,BNR-100051,Gehalt,60000,-1076.22,EUR,Tom Berger,DE12345678901234567890,Gehalt Tom Berger 2024-06
